"filename", "language", "Python", "pip requirements", "Properties", "HTML", "JavaScript", "XML", "Markdown", "PostCSS", "reStructuredText", "Batch", "PowerShell", "comment", "blank", "total"
"e:\A_Code\testGit\du-an-mau-k23-team\backend\cart\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"e:\A_Code\testGit\du-an-mau-k23-team\backend\cart\admin.py", "Python", -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -2, -4
"e:\A_Code\testGit\du-an-mau-k23-team\backend\cart\apps.py", "Python", -4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3, -7
"e:\A_Code\testGit\du-an-mau-k23-team\backend\cart\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"e:\A_Code\testGit\du-an-mau-k23-team\backend\cart\models.py", "Python", -7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -9
"e:\A_Code\testGit\du-an-mau-k23-team\backend\cart\serializers.py", "Python", -7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -9
"e:\A_Code\testGit\du-an-mau-k23-team\backend\cart\tests.py", "Python", -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -2, -4
"e:\A_Code\testGit\du-an-mau-k23-team\backend\cart\urls.py", "Python", -5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -7
"e:\A_Code\testGit\du-an-mau-k23-team\backend\cart\views.py", "Python", -10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4, -14
"e:\A_Code\testGit\du-an-mau-k23-team\backend\config\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"e:\A_Code\testGit\du-an-mau-k23-team\backend\config\asgi.py", "Python", -4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -8, -5, -17
"e:\A_Code\testGit\du-an-mau-k23-team\backend\config\settings.py", "Python", -80, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -27, -33, -140
"e:\A_Code\testGit\du-an-mau-k23-team\backend\config\urls.py", "Python", -11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -12
